"term_id","name","slug"
"1","Новини","novini"
"9","федоренко","fedorenko"
"10","екта","ekta"
"11","міська рада","miska-rada"
"12","різаненко","rizanenko"
"13","сапожко","sapozhko"
"14","андреєв","andreyev"
"15","петренко","petrenko"
"16","феско","fesko"
"17","сімутін","simutin"
"18","брусенська","brusenska"
"19","базишин","bazyshyn"
"20","нємчина","nyemchyna"
"21","шкуренко","shkurenko"
"22","андрієвський","andriyevskyj"
"23","twitter","twitter"
"24","виконком","vykonkom"
"25","акція протесту","aktsiya-protestu"
"26","віканов","vikanov"
"27","ліфти","lifty"
"28","лагунової 18б","lagunovoyi-18b"
"29","осбб","osbb"
"30","жкг","zhkg"
"31","партія регіонів","partiya-regioniv"
"32","семенюк-кіяшко","semenyuk-kiyashko"
"33","онищенко","onyshhenko"
"34","сенько","senko"
"35","багмут","bagmut"
"36","трощенко","troshhenko"
"37","добровольский","dobrovolskyj"
"38","крат","krat"
"39","заєць","zayets"
"40","кужим","kuzhym"
"41","оксютенко","oksyutenko"
"42","басейни","basejny"
"43","служба замовника","sluzhba-zamovnika"
"45","вознюк","voznyuk"
"46","паламарчук","palamarchuk"
"47","антоненко","antonenko"
"48","гарник","garnyk"
"49","гредунов","gredunov"
"50","данюк","danyuk"
"51","Іваненко","ivanenko"
"52","загуменний","zagumennyj"
"53","жеребцова","zherebtsova"
"54","прес-анонс","pres-anons"
"55","кузьменко","kuzmenko"
"57","громадська рада","gromadska-rada"
"64","шокун","shokun"
"66","купава","kupava"
"67","озимай","ozymaj"
"68","азаров","azarov"
"69","голубовський","golubovskyj"
"70","Приклади запитів","prikladi-zapitiv"
"71","тролейбус","trolejbus"
"73","реєстр публічної інформації","reyestr-publichnoyi-informatsiyi"
"74","кузнєцов","kuznyetsov"
"76","федун","fedun"
"77","напад","napad"
"78","промкомплект","promkomplekt"
"79","качор","kachor"
"80","кравець","kravets"
"81","кривонос","kryvonos"
"82","глушко","glushko"
"83","куліш","kulish"
"85","окрема думка","okrema-dumka-2"
"86","Свобода слова","svoboda-slova"
"87","Сдобнякова","sdobnyakova"
"88","відкрита сесія","vidkrita-sesiya"
"89","тиск на журналістів","tisk-na-zhurnalistiv"
"90","Дяченко","dyachenko"
"91","янукович","yanukovych"
"92","соколенко","sokolenko"
"93","УНІАН","unian"
"94","прес-конференція","pres-konferentsiya"
"95","Наше місто","nashe-misto"
"96","Броварська панорама","brovarska-panorama"
"97","Гроза","groza"
"98","відеоролик","videorolyk"
"99","Вибір редакції","vibir-redaktsiyi"
"101","Броварські ЗМІ","brovarski-zmi"
"103","збережемо перемогу","zberezhemo-peremogu"
"104","семікоп","semikop"
"105","суд","sud"
"106","публічна інформація","publichna-informatsiya"
"107","звітування","zvituvannya"
"108","чисті вікна","chisti-vikna"
"113","сайт","sajt"
"114","Голодомор","golodomor"
"115","вулиці","vulytsi"
"116","перейменування","perejmenuvannya"
"117","харчування","harchuvannya"
"118","діти","dity"
"119","міліція","militsiya"
"120","допит","dopyt"
"121","шляховський","shlyahovskyj"
"122","бондарьова","bondarova"
"123","бровари","brovary"
"124","прокуратура","prokuratura"
"125","мер броварів","mer-brovariv"
"126","адамський","adamskyj"
"127","дороги","dorogi"
"128","комунальники","komunalniki"
"130","ДНЗ ""Колосок""","dnz-kolosok"
"131","торгпродсервіс","torgprodservis"
"132","тендери","tenderi"
"133","громадськість","gromadskist"
"134","вибори","vibori"
"135","тимошенко","timoshenko"
"136","маршрут № 786","marshrut-786"
"137","мала батьківщина","mala-batkivshhina"
"138","ратніков","ratnikov"
"139","паспорт","pasport"
"140","вгірфо","vgirfo"
"141","паспортний стіл","pasportniy-stil"
"142","реклама","reklama"
"143","зелені насадження","zeleni-nasadzhennya"
"144","стецьків","stetskiv"
"145","юсов","yusov"
"146","коханівський","kohanivskiy"
"147","комітет опору диктатурі","komitet-oporu-diktaturi"
"148","Батьківщина","batkivshhina"
"149","Фронт Змін","front-zmin"
"150","УДАР","udar"
"151","газета","gazeta"
"152","бровары","brovaryi"
"153","закордонний паспорт","zakordonniy-pasport"
"154","ЗМІ","zmi"
"155","смалько","smalko"
"156","короленка 60а","korolenka-60a"
"157","пільговики","pilgoviki"
"158","соціальний захист","sotsialniy-zahist"
"159","Інтернет","internet"
"160","ями","yami"
"161","даі","dai"
"162","громадський захист київщини","gromadskiy-zahist-kiyivshhini"
"163","укряма","ukryama"
"164","правозахист","pravozahist"
"165","Іллюхін","illyuhin"
"166","логовченко","logovchenko"
"167","виноградова","vinogradova"
"168","мітинг","miting"
"169","кищук","kishhuk"
"170","сесія","sesiya"
"171","броварська міська рада","brovarska-miska-rada"
"172","розпорядження","rozporyadzhennya"
"173","підкуп виборців","pidkup-vibortsiv"
"174","напад на журналістів","napad-na-zhurnalistiv"
"175","Маєш Право Знати","mayesh-pravo-znati"
"176","БМР","bmr"
"177","твітер-трансляція","tviter-translyatsiya"
"178","варта","varta"
"179","зелена енергія","zelena-energiya"
"180","підробка","pidrobka"
"181","возєднання","vozyednannya"
"182","дерева","dereva"
"183","гаряча вода","garyacha-vodi"
"184","броваритепловодоенергія","brovariteplovodoenergiya"
"185","комунальне підприємство","komunalne-pidpriyemstvo"
"186","продуктові набори","produktovi-nabori"
"187","червоний хрест","chervoniy-hrest"
"188","драпей","drapey"
"189","адмінресурс","adminresurs"
"190","броварський район","brovarskiy-rayon"
"191","літки","litki"
"192","требухів","trebuhiv"
"193","погреби","pogrebi"
"194","зазим'я","zazimya"
"195","квартири","kvartiri"
"196","сбу","sbu"
"197","ремонт","remont"
"198","тротуар","trotuar"
"199","транспорт","transport"
"200","управління освіти","upravlinnya-osviti"
"201","інформаційні запити","informatsiyni-zapiti"
"202","фальшивка","falshivka"
"203","комунальні аптеки","komunalni-apteki"
"204","аптека матері і дитини","apteka-materi-i-ditini"
"205","оздоровчо-реабілітаційний центр","ozdorovcho-reabilitatsiyniy-tsentr"
"206","незаконне будівництво","nezakonne-budivnitstvo"
"207","мвс","mvs"
"208","тві","tvi"
"209","заява про злочин","zayava-pro-zlochin"
"210","преса","presa"
"211","акція","aktsiya"
"212","вода","voda"
"213","екологія","ekologiya"
"214","КОД","kod"
"215","вартовий","vartoviy"
"216","чорновіл","chornovil"
"217","цензура","tsenzura"
"218","білборди","bilbordi"
"219","харченко","harchenko"
