"user_login","display_name","avatar","description"
"Aleechka","Аліна Дяченко","/avatars/alina-9-avatar.jpg","Депутат Броварської міськради, голова броварського осередку ""ДемАльянсу"", екс-головний редактор ""Маєш право знати"""
"pravoZnaty","Маєш право знати","/avatars/v3-avatar.jpg","Команда ""Маєш право знати"""
"trydence","Дмитро Карпій","/avatars/180738_104876129588486_100001982986761_34503_2783780_n-avatar.jpg","Журналіст ""Маєш право знати"", активіст Громадянського руху ""Відсіч"", голова комісії Броварської міської ради з питань найменувань та пам'ятних знаків"
"shako","Тарас Шако","/avatars/yd3km3coevu-cropped.jpg","журналіст видання ""Маєш право знати"", громадський активіст"
"kravec","Юрій Кравець","/avatars/156789_124880497575655_7720728_n-avatar.jpg","Керівник Правозахисної Групи ""Варта"". Головний девіз - ""Поважай себе-захищай свої права!"""
"stretovich","Дмитро Стретович","/avatars/dsc_0110-avatar.jpg","Журналіст, культуртреґер"
"malofienko","Віктор Малофієнко","/avatars/malofienko-avatar.jpg","Голова ініціативної групи «Старе місто», броварчанин"
"svoboda","Прес-служба ВО Свобода","/avatars/photo-avatar.jpg","Броварська партійна районна організація"
"gorbatenko","Сергій Горбатенко","/avatars/x_bb0370c3-avatar.jpg","Броварчанин"
"plakhovalex","Олександр Плахов","/avatars/photo-17-avatar.jpg","Броварчанин"
"ochrimoff","Владимир Охримов","/avatars/z_147002c9-avatar.jpg","Житель этого города, который смотрит на него со стороны"
"serzhov","Сергій Севрук","/avatars/gfranq_serzhov_2133895-avatar.jpg","Журналіст ""Маєш право знати"", громадський активіст"
"pavriz","Павло Різаненко","/avatars/133016_289156534518401_107337738_o-avatar.jpg","Депутат Верховної Ради України, обраний у 97 окрузі"
"nemchina","Тетяна Немчина","/avatars/nemchina.jpg","Громадський діяч, працюю в третьому секторі на постійній основі. Зараз розвиваю соціальне підприємництво"
"Lisova","Лідія Стрельченко","/avatars/img_0012===-avatar.jpg","корінна мешканка Броварів"
"admin","admin","/avatars/logo-cropped.jpg","Super Admin"
"bazir","Анатолій Базір","/avatars/foto-avatar.jpg","Кандидат в депутати по мажоритарному виборчому округу №97 на виборах у 2012 році.
За освітою, політолог"
"zolotariov","Євген Золотарьов","/avatars/zolotarov.jpg","Громадський активіст, політолог"
"zaharevych","Євген Захаревич","/avatars/x_f12b72fa-avatar.jpg","Працівник ГО ""Прозоре суспільство"", громадський активіст"
"matiashko","Матяшко Нікодимов","/avatars/aibeiaiaaabecipvipfu7q7yggeic3zjyxjkx3bob3rvkigymdbhnte4zgflmzgzzdezyta3njvkmgi4mty5zmyzowqzzwywywm4mafitai2l6_zptp3goalw3k-yeii-w.jpg","Ти це Я"
"kohanivsky","Микола Коханівський","/avatars/217205_118117934935789_3914818_n-avatar.jpg","Координатор Комітету визволення політв'язнів, кандидат у народні депутати у виборчому окрузі № 97"
"slobodyan","Олександр Слободян","/avatars/dsc02264-cropped.jpg","Громадянин, який знає свої права і обов'язки влади"
"grygoryrushko","Григорій Ришко","/avatars/240810_101309246691964_486031107_o-avatar.jpg","Кандидат у народні депутати України по одномандатному виборчому округу №97. Президент Всеукраїнського громадського об’єднання «Гільдія пічників і власників камінів»"
"udar","УДАР","/avatars/12-avatar.jpg","Броварський осередок партії УДАР Віталія Кличка"
